position,n,mean_paired_indicator_prediction,sem_paired_indicator_prediction,mean_unpaired_indicator_prediction,sem_unpaired_indicator_prediction,mean_delta,sem_delta
-40,1449,0.9472940601999797,0.0018276577120483512,0.9471405774992527,0.001828318953230604,0.00015348270072700074,9.684172521291192e-05
-39,1450,0.9473325442856756,0.0018239597785120567,0.9470829121819858,0.0018361744116455595,0.00024963210368978566,8.681313462064517e-05
-38,1451,0.94718120054571,0.0018289738666091744,0.946999369860517,0.0018369254644359987,0.00018183068519292577,8.430219680077027e-05
-37,1452,0.9471868294658083,0.0018290261784029518,0.9471377810827628,0.0018323924472292636,4.904838304545925e-05,8.751994403541587e-05
-36,1453,0.9472488480359214,0.0018233229851176596,0.9471033105994616,0.0018368916451153349,0.00014553743645969293,8.177074731851093e-05
-35,1455,0.9469691468268325,0.0018329145336507327,0.9471030733839343,0.0018312315171103535,-0.00013392655710174457,7.845733319306926e-05
-34,1456,0.9469998408886757,0.0018319997319501064,0.9470136014560422,0.0018322874813656055,-1.3760567366421877e-05,8.032558403235342e-05
-33,1460,0.946864473533957,0.0018319392593574508,0.94666980043666,0.0018390896979122626,0.00019467309729693686,9.576763660330385e-05
-32,1463,0.9469071008616413,0.0018298133917338524,0.94677509441819,0.0018346033479383714,0.0001320064434513032,8.572220506850721e-05
-31,1466,0.9468645115178409,0.0018309069481231414,0.9468477674509623,0.001834242599929011,1.6744066878523052e-05,9.779784558982395e-05
-30,1466,0.9469260028163212,0.00182974175064618,0.9466698921881463,0.0018362127366116862,0.0002561106281748898,9.827694083010823e-05
-29,1466,0.946923127644384,0.0018284599053271472,0.9465598416442272,0.0018488285198857387,0.0003632860001567929,0.00011870900090522065
-28,1471,0.9466993174611266,0.0018358426100553407,0.9462989586539045,0.0018489960176016045,0.0004003588072221187,0.00010248333925460347
-27,1478,0.9464705126695284,0.001835400998565558,0.9460006383662295,0.001852244265338051,0.00046987430329897085,0.00010632921519041738
-26,1490,0.9462247720500767,0.0018323706227035747,0.9459767940860466,0.001836735736353376,0.00024797796403001616,9.608228918867774e-05
-25,1494,0.9462565503605558,0.0018240102100129016,0.9460239610279421,0.001829215742300722,0.0002325893326137599,8.704694283747855e-05
-24,1495,0.9462863489935629,0.0018241940832319729,0.9458670919156792,0.0018341261030246638,0.0004192570778837172,0.00010372945556101627
-23,1497,0.946137193488374,0.0018239646573133621,0.9458321987507577,0.0018317287681405233,0.00030499473761620325,0.00010500448390209415
-22,1499,0.9463836407168378,0.0018141678977794827,0.9459054121341285,0.0018300367256665494,0.00047822858270921256,0.00010553026334717717
-21,1502,0.9463572189430105,0.0018183325485133673,0.9458852392855719,0.001829872968497015,0.0004719796574385601,0.00010246516173223209
-20,1503,0.9464770139096502,0.0018101931236036014,0.9457476709337926,0.0018318196642013766,0.0007293429758575703,0.00012081819253377874
-19,1505,0.9464964960500647,0.0018063326301040097,0.9459218641056175,0.0018248444871405095,0.0005746319444472608,0.00011836279605240116
-18,1506,0.9462712492600855,0.001815621112810869,0.9457095575285148,0.0018312501029851427,0.0005616917315707263,0.0001378399169520114
-17,1507,0.9463609757214567,0.0018113044566246675,0.9458655843136717,0.0018219192170171317,0.0004953914077849916,0.00012388900657326493
-16,1510,0.9462195947470254,0.001816435120790569,0.9455109615199613,0.0018460230180122464,0.0007086332270641201,0.0001587403953617164
-15,1510,0.9463008996666662,0.0018091398155542532,0.9454932262565916,0.001841899198711155,0.0008076734100746003,0.0001334863324225723
-14,1512,0.9462813686520334,0.0018086548200410774,0.9457415049826657,0.001832628371772192,0.0005398636693676943,0.00014901487235716683
-13,1513,0.946097317430568,0.001812660490571594,0.9457902840959734,0.0018267806775173969,0.0003070333345946459,0.00016795779596285408
-12,1513,0.9462175872730878,0.0018067555632493894,0.9457726174447211,0.001823452150628242,0.0004449698283667605,0.0001416539822907569
-11,1513,0.9460492055304225,0.0018199142877876353,0.9458799629674711,0.0018206514876269071,0.0001692425629514302,0.00013892788847546207
-10,1516,0.9461615867617892,0.0018115861287210614,0.9458373945039307,0.001823542713990397,0.0003241922578585179,0.00016352550197228048
-9,1517,0.9461734316108568,0.0018125575017174432,0.9461697531359402,0.001809711240947023,3.6784749166228382e-06,0.00016998732362917714
-8,1517,0.9462918911470578,0.0018093575762611945,0.9460007553440062,0.0018102438545971606,0.00029113580305166123,0.0001805840811887014
-7,1517,0.9462498690080863,0.0018077244225108194,0.9461295142249206,0.0018106600920601544,0.00012035478316566704,0.0001819011248108224
-6,1517,0.9464801949109384,0.0017953382149364576,0.9459226816676523,0.001827794666963334,0.0005575132432860926,0.0002270157451400697
-5,1518,0.9464248996007113,0.0018010647019715456,0.9456311820445482,0.0018455260565858735,0.0007937175561630993,0.00023416582113400527
-4,1520,0.9465762840681955,0.001797001947107593,0.9444132010011297,0.0018879827746936854,0.002163083067065791,0.0003424612629182463
-3,1520,0.9473465553239773,0.0017782298815695182,0.9404850042572147,0.002014603782189286,0.006861551066762523,0.0004888329826241816
-2,1520,0.947777513257767,0.0017711920631111873,0.9276467076551758,0.002432652863099678,0.020130805592787893,0.0011743930007169254
-1,1520,0.9495268090383002,0.001765059062647654,0.914049322599251,0.002801779201322539,0.03547748642924585,0.0016878404587004122
0,1520,0.9167905024154798,0.0029724717848927163,0.9434000465038576,0.002150326364675378,-0.0266095440050489,0.002380179468753599
1,1520,0.9470262731768583,0.001848975898110455,0.9250917551940994,0.0024292884409081615,0.021934517982758975,0.0011196083330980652
2,1520,0.9475306075262396,0.001775579236731539,0.9374552488719162,0.002121544366191308,0.010075358654323376,0.0006955131512837253
3,1520,0.9470111723008908,0.0017877983116641937,0.9432432203700668,0.0018989326631726052,0.003767951930824079,0.0003471797652646135
4,1520,0.9465341312712745,0.0018032977218775347,0.9437639289388531,0.0019055869514347918,0.002770202332421353,0.00031418431080012697
5,1520,0.9466577939297024,0.0018034113650182212,0.9447400840097352,0.0018732996552695068,0.0019177099199671494,0.0002714000540864894
6,1520,0.9463612728605145,0.0018077954856618767,0.9444000377466805,0.00186859076592133,0.00196123511383408,0.00028952215907653245
7,1520,0.9465785650438384,0.0018000235351961253,0.9447849784242479,0.0018408574718058372,0.0017935866195904582,0.0002845880706941253
8,1520,0.9463847559533621,0.0018079052372245036,0.9444265168356268,0.0018737519457900276,0.0019582391177353107,0.0002654646759637549
9,1520,0.9464076908403322,0.0018034070084665223,0.9443502734758352,0.0018529959908291534,0.0020574173644969337,0.00025171803156513533
10,1520,0.9462879190711598,0.001806872450424986,0.9442587454852305,0.001865818248282868,0.002029173585929369,0.00021078707264849634
11,1520,0.9464330264612248,0.0018039352332201745,0.9440856930064527,0.0018670164455641368,0.0023473334547720456,0.00021883902264794672
12,1520,0.9465005680526558,0.0018062781254146998,0.9435530244519836,0.0018867852917354533,0.00294754360067217,0.00023582986406384953
13,1520,0.9464623726904392,0.0018063035360958064,0.942928372323513,0.0019173150071181914,0.0035340003669261932,0.00028289296561684226
14,1520,0.9465852636647852,0.0018005252415240999,0.9422505981043765,0.0019396373393824845,0.004334665560408643,0.00029920374946090556
15,1520,0.9466861534667642,0.0017969280606994987,0.9420089546394975,0.0019459148950995635,0.004677198827266693,0.0002816540552228851
16,1520,0.9466767536182152,0.0018011200704552174,0.9418431188715132,0.0019427812018295164,0.004833634746702094,0.00027487669108071654
17,1519,0.9467529742791513,0.00179714970307864,0.9418002228112187,0.0019437879904813631,0.004952751467932675,0.00028012351224168734
18,1517,0.9465767202129,0.0018121192590508973,0.9418404839427045,0.0019485446443822422,0.004736236270195415,0.0002659726114517176
19,1517,0.946644165952817,0.0018018568998139724,0.9416835585863242,0.001965921982977048,0.004960607366492737,0.00029004261558255575
20,1515,0.94681450045935,0.00179304394271212,0.9421144551569872,0.001951991606201736,0.004700045302362725,0.00027506137165716614
21,1514,0.9466079597507789,0.0018003500631002837,0.9421780587345008,0.0019462539845295317,0.004429901016278185,0.0002702492783889133
22,1513,0.946766990269562,0.0017971677536902458,0.9425179632546803,0.0019365050289860547,0.004249027014881747,0.00024358949797161753
23,1511,0.946484740485741,0.001810332343322658,0.9427714517462104,0.0019334347407664826,0.0037132887395307135,0.0002355550956422949
24,1510,0.9462992726572302,0.0018146598149394032,0.9433229614962015,0.0019102687717455886,0.0029763111610286285,0.00020800297048592696
25,1507,0.9465825832198611,0.0018096596409882901,0.9440891315941788,0.0018904118977006647,0.0024934516256822207,0.00021126173901592855
26,1499,0.9464431385981233,0.0018128259380783289,0.9452689794638381,0.001858765616026143,0.0011741591342852226,0.00019874757465135188
27,1493,0.9461097441019823,0.0018333607550984142,0.9455806935144924,0.001851224868903129,0.0005290505874899515,0.00022683606615530553
28,1493,0.9455467005823573,0.0018544173407661732,0.946600472336237,0.0018174178031371273,-0.001053771753879657,0.0002556922055509978
29,1493,0.9451838663098642,0.0018667045189151436,0.9466459348308744,0.0018229369146518651,-0.0014620685210103407,0.0002480860092891835
30,1492,0.9448537176559821,0.0018881887308650916,0.9466474863623167,0.0018171393608273027,-0.0017937687063345,0.0002816463282170417
31,1489,0.9446718792454198,0.001888416814330988,0.9469641528728426,0.0018156993514149972,-0.002292273627422735,0.0002889980280009387
