jsonl_line,Genomic_Location,editing_level_pct
0,chr7:43944351.0,6.04651162790698
1,chr7:43944338.0,14.0776699029126
2,chr7:43944330.0,3.05676855895197
3,chr7:43944290.0,1.31578947368421
4,chr7:43944284.0,1.2396694214876
5,chr7:43944260.0,5.73770491803279
6,chr7:43944258.0,3.7344398340249
7,chr7:43944250.0,2.7027027027027
8,chr7:43944221.0,1.41509433962264
9,chr7:43944192.0,10.6598984771574
10,chr7:43944178.0,1.01522842639594
11,chr7:43944168.0,4.12371134020619
12,chr7:43942301.0,2.32558139534884
13,chr7:43942271.0,1.51515151515152
14,chr7:43942233.0,2.95566502463054
15,chr7:43942232.0,6.42201834862385
16,chr7:43942215.0,7.04225352112676
17,chr7:43942214.0,7.07547169811321
18,chr7:43942203.0,1.63934426229508
19,chr7:43942194.0,6.35838150289017
20,chr7:43942191.0,12.4260355029586
21,chr7:43942136.0,1.61290322580645
22,chr22:26523854.0,9.6529284164859
23,chr22:26523809.0,1.5984015984016
24,chr22:26523800.0,13.6627906976744
25,chr22:26523785.0,2.69230769230769
26,chr22:26523762.0,13.047711781889
27,chr22:26523761.0,7.75047258979206
28,chr22:26523759.0,8.49056603773585
29,chr22:26523757.0,4.94071146245059
30,chr22:26523755.0,1.26829268292683
31,chr22:26523754.0,6.20620620620621
32,chr22:26523753.0,5.56117290192113
33,chr22:26523752.0,4.64135021097046
34,chr22:26523751.0,5.13874614594039
35,chr22:26523722.0,4.07554671968191
36,chr22:26523712.0,4.29141716566866
37,chr22:26523705.0,2.84775465498357
38,chr22:26523699.0,4.18454935622318
39,chr22:26523695.0,12.1278941565601
40,chr22:26523690.0,1.96304849884527
41,chr22:26523689.0,2.87846481876333
42,chr22:26523673.0,9.5190380761523
43,chr22:26523669.0,2.63991552270327
44,chr22:26523652.0,1.92307692307692
45,chr22:26523651.0,6.13562970936491
46,chr22:26523638.0,4.17607223476298
47,chr22:26523621.0,1.14068441064639
48,chr22:26523619.0,1.06809078771696
49,chr22:26523613.0,3.03030303030303
50,chr22:26522998.0,6.80592991913747
51,chr22:26522965.0,11.7721518987342
52,chr22:26522960.0,2.80658938377059
53,chr22:26522948.0,2.11225105612553
54,chr22:26522934.0,7.09876543209877
55,chr22:26522926.0,3.27540106951872
56,chr22:26522925.0,1.6382252559727
57,chr22:26522918.0,13.2285527177472
58,chr22:26522909.0,2.65177948360084
59,chr22:26522908.0,4.41708906589428
60,chr22:26522907.0,1.8628912071535
61,chr22:26522884.0,7.93534166054372
62,chr22:26522873.0,6.75944333996024
63,chr22:26522859.0,1.19891008174387
64,chr22:26522858.0,2.60727865290603
65,chr22:26522855.0,1.35281385281385
