variant,train,val,epoch,f1
bioaware_plain,Liver,Liver,1,0.6857
bioaware_plain,Liver,Liver,2,0.7764
bioaware_plain,Liver,Liver,3,0.7921
bioaware_plain,Liver,Liver,4,0.82
bioaware_plain,Liver,Liver,5,0.8268
bioaware_plain,Liver,Liver,6,0.8311
bioaware_plain,Liver,Liver,7,0.8381
bioaware_plain,Liver,Liver,8,0.8405
bioaware_plain,Liver,Liver,9,0.8447
bioaware_plain,Liver,Liver,10,0.8326
bioaware_plain,Liver,Liver,11,0.8386
bioaware_plain,Liver,Liver,12,0.8337
bioaware_plain,Liver,Liver,13,0.8534
bioaware_plain,Liver,Liver,14,0.8349
bioaware_plain,Liver,Liver,15,0.8524
bioaware_plain,Liver,Liver,16,0.8433
bioaware_plain,Liver,Liver,17,0.8617
bioaware_plain,Liver,Liver,18,0.8669
bioaware_plain,Liver,Liver,19,0.8466
bioaware_plain,Liver,Liver,20,0.8644
bioaware_plain,Liver,Liver,21,0.8657
bioaware_plain,Liver,Liver,22,0.8626
bioaware_plain,Liver,Liver,23,0.875
bioaware_plain,Liver,Liver,24,0.8705
bioaware_plain,Liver,Liver,25,0.8603
bioaware_plain,Liver,Liver,26,0.8722
bioaware_plain,Liver,Liver,27,0.8665
bioaware_plain,Liver,Liver,28,0.877
bioaware_plain,Liver,Liver,29,0.879
bioaware_plain,Liver,Liver,30,0.8699
bioaware_plain,Liver,Liver,31,0.8752
bioaware_plain,Liver,Liver,32,0.8752
bioaware_plain,Liver,Liver,33,0.8726
bioaware_plain,Liver,Liver,34,0.8827
bioaware_plain,Liver,Liver,35,0.8827
bioaware_plain,Liver,Liver,36,0.8858
bioaware_plain,Liver,Liver,37,0.8696
bioaware_plain,Liver,Liver,38,0.8822
bioaware_plain,Liver,Liver,39,0.8917
bioaware_plain,Liver,Liver,40,0.8652
bioaware_plain,Liver,Liver,41,0.8913
bioaware_plain,Liver,Liver,42,0.8834
bioaware_plain,Liver,Liver,43,0.8792
bioaware_plain,Liver,Liver,44,0.8862
bioaware_plain,Liver,Liver,45,0.8836
bioaware_plain,Liver,Liver,46,0.8936
bioaware_plain,Liver,Liver,47,0.8831
bioaware_plain,Liver,Liver,48,0.8652
bioaware_plain,Liver,Liver,49,0.8743
bioaware_plain,Liver,Liver,50,0.8941
bioaware_plain,Liver,Liver,51,0.8888
bioaware_plain,Liver,Liver,52,0.8888
bioaware_plain,Liver,Liver,53,0.8749
bioaware_plain,Liver,Liver,54,0.8821
bioaware_plain,Liver,Liver,55,0.8864
